Watching for file changes with StatReloader
Not Found: /api/projects/list
[02/Aug/2025 14:37:40] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:37:41] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:37:41] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:37:41] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:37:42] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:37:42] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:37:42] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
Bad Request: /api/v1/projects/images/upload/
[02/Aug/2025 14:37:42] "POST /api/v1/projects/images/upload/ HTTP/1.1" 400 35
[02/Aug/2025 14:37:42] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:37:42] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:37:42] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:45] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:45] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:45] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:45] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:45] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:45] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
Project directory not found: /home/futaro/project/StatVizForge_JikkenPy/project/test_project
Not Found: /api/v1/projects/images/upload/
[02/Aug/2025 14:46:46] "POST /api/v1/projects/images/upload/ HTTP/1.1" 404 54
[02/Aug/2025 14:46:46] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:46] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:46] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:47] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:47] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:47] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:48] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:48] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:48] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
Bad Request: /api/v1/projects/images/upload/
[02/Aug/2025 14:46:48] "POST /api/v1/projects/images/upload/ HTTP/1.1" 400 35
[02/Aug/2025 14:46:48] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:48] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:48] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:54] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:46:54] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:46:54] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:01] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:01] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:01] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:07] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:07] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:07] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:13] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:13] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:13] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:19] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:19] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:19] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:25] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:25] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:25] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:32] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:32] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:32] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:38] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:38] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:38] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:44] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:44] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:44] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:50] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:50] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:50] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:56] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:47:56] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:47:56] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:02] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:02] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:02] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:09] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:09] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:09] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:15] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:15] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:15] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:21] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:21] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:21] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:27] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:27] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:27] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:28] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:28] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:28] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:31] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:31] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:31] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:31] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:31] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:31] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:31] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:31] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:31] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:31] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:38] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:38] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:38] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:38] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:38] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:38] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:38] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:44] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:44] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:44] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:44] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:44] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:44] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:44] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:50] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:50] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:50] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:50] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:50] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:50] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:50] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:57] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:48:57] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:57] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:48:57] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:57] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:48:57] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:48:57] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:03] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:49:03] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:03] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:03] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:03] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:03] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:03] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:09] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:49:09] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:09] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:09] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:09] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:09] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:09] "GET /api/v1/projects/ HTTP/1.1" 200 23525
