Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
52.0,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,あ2,い2,う1,え1,お2,か2,き1,く1,け2,こ2,さ1,し1,す2,せ2,そ1,た1,ち2,つ2,て1,と1,な2,に1,ぬ2,ね2,の1,は1,ひ2,ふ2,へ1,ほ1,ま2,み2,む1,め1,も2,や2,ゆ1
53.0,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,あ2,い2,う1,え1,お2,か1,き2,く2,け1,こ1,さ2,し2,す1,せ2,そ1,た1,ち2,つ2,て1,と1,な2,に1,ぬ2,ね2,の1,は1,ひ2,ふ2,へ1,ほ2,ま1,み1,む2,め2,も1,や1,ゆ2
54.0,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,あ2,い2,う1,え1,お2,か2,き1,く1,け2,こ2,さ1,し1,す2,せ1,そ2,た2,ち1,つ1,て2,と2,な1,に2,ぬ1,ね1,の2,は2,ひ1,ふ1,へ2,ほ1,ま2,み2,む1,め1,も2,や2,ゆ1
55.0,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,2,あ1,い1,う2,え2,お1,か1,き2,く2,け1,こ1,さ2,し2,す1,せ2,そ1,た1,ち2,つ2,て1,と1,な2,に2,ぬ1,ね1,の2,は2,ひ1,ふ1,へ2,ほ1,ま2,み2,む1,め1,も2,や2,ゆ1
56.0,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,2,あ1,い1,う2,え2,お1,か2,き1,く1,け2,こ2,さ1,し1,す2,せ1,そ2,た2,ち1,つ1,て2,と2,な1,に1,ぬ2,ね2,の1,は1,ひ2,ふ2,へ1,ほ2,ま1,み1,む2,め2,も1,や1,ゆ2
57.0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,あ1,い2,う1,え1,お2,か1,き2,く2,け1,こ2,さ1,し1,す2,せ1,そ2,た2,ち1,つ2,て1,と1,な2,に1,ぬ2,ね2,の1,は2,ひ1,ふ1,へ2,ほ1,ま2,み2,む1,め2,も1,や1,ゆ2
58.0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,あ1,い2,う1,え1,お2,か2,き1,く1,け2,こ1,さ2,し2,す1,せ2,そ1,た1,ち2,つ1,て2,と2,な1,に2,ぬ1,ね1,の2,は1,ひ2,ふ2,へ1,ほ2,ま1,み1,む2,め1,も2,や2,ゆ1
59.0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,あ2,い1,う2,え2,お1,か1,き2,く2,け1,こ2,さ1,し1,す2,せ1,そ2,た2,ち1,つ2,て1,と1,な2,に2,ぬ1,ね1,の2,は1,ひ2,ふ2,へ1,ほ2,ま1,み1,む2,め1,も2,や2,ゆ1
60.0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,あ2,い1,う2,え2,お1,か2,き1,く1,け2,こ1,さ2,し2,す1,せ2,そ1,た1,ち2,つ1,て2,と2,な1,に1,ぬ2,ね2,の1,は2,ひ1,ふ1,へ2,ほ1,ま2,み2,む1,め2,も1,や1,ゆ2
61.0,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,あ2,い1,う2,え2,お1,か1,き2,く2,け1,こ2,さ1,し1,す2,せ2,そ1,た1,ち2,つ1,て2,と2,な1,に1,ぬ2,ね2,の1,は2,ひ1,ふ1,へ2,ほ2,ま1,み1,む2,め1,も2,や2,ゆ1
62.0,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,あ2,い1,う2,え2,お1,か2,き1,く1,け2,こ1,さ2,し2,す1,せ1,そ2,た2,ち1,つ2,て1,と1,な2,に2,ぬ1,ね1,の2,は1,ひ2,ふ2,へ1,ほ1,ま2,み2,む1,め2,も1,や1,ゆ2
63.0,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,あ1,い2,う1,え1,お2,か1,き2,く2,け1,こ2,さ1,し1,す2,せ2,そ1,た1,ち2,つ1,て2,と2,な1,に2,ぬ1,ね1,の2,は1,ひ2,ふ2,へ1,ほ1,ま2,み2,む1,め2,も1,や1,ゆ2
64.0,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,あ1,い2,う1,え1,お2,か2,き1,く1,け2,こ1,さ2,し2,す1,せ1,そ2,た2,ち1,つ2,て1,と1,な2,に1,ぬ2,ね2,の1,は2,ひ1,ふ1,へ2,ほ2,ま1,み1,む2,め1,も2,や2,ゆ1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
