Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
42.0,2,2,3,1,2,1,3,2,1,1,3,2,3,3,1,3,2,1,2,3,1,3,2,1,2,1,あ2,い1,う3,え2,お3,か1,き2,く1,け3,こ2,さ3,し2,す3,せ2,そ1,た3,ち1,つ2,て3,と2,な1,に3,ぬ1
43.0,2,3,1,2,3,2,1,3,2,2,1,3,1,1,2,1,3,2,3,2,3,2,1,3,1,1,あ2,い1,う3,え2,お3,か3,き1,く3,け2,こ1,さ2,し2,す3,せ2,そ1,た3,ち1,つ3,て1,と3,な2,に1,ぬ2
44.0,2,3,1,2,3,2,1,3,2,2,1,3,1,2,3,2,1,3,1,3,1,3,2,1,2,2,あ3,い2,う1,え3,お1,か1,き2,く1,け3,こ2,さ3,し3,す1,せ3,そ2,た1,ち2,つ1,て2,と1,な3,に2,ぬ3
45.0,2,3,1,2,3,2,1,3,2,2,1,3,1,3,1,3,2,1,2,1,2,1,3,2,3,3,あ1,い3,う2,え1,お2,か2,き3,く2,け1,こ3,さ1,し1,す2,せ1,そ3,た2,ち3,つ2,て3,と2,な1,に3,ぬ1
46.0,2,1,2,3,2,1,1,3,2,3,3,2,1,1,2,1,3,2,3,3,1,3,2,1,2,3,あ1,い3,う2,え1,お2,か2,き3,く2,け1,こ3,さ1,し2,す3,せ2,そ1,た3,ち1,つ1,て2,と1,な3,に2,ぬ3
47.0,2,1,2,3,2,1,1,3,2,3,3,2,1,2,3,2,1,3,1,1,2,1,3,2,3,1,あ2,い1,う3,え2,お3,か3,き1,く3,け2,こ1,さ2,し3,す1,せ3,そ2,た1,ち2,つ2,て3,と2,な1,に3,ぬ1
48.0,2,1,2,3,2,1,1,3,2,3,3,2,1,3,1,3,2,1,2,2,3,2,1,3,1,2,あ3,い2,う1,え3,お1,か1,き2,く1,け3,こ2,さ3,し1,す2,せ1,そ3,た2,ち3,つ3,て1,と3,な2,に1,ぬ2
49.0,2,2,3,1,3,2,2,1,3,1,1,3,2,1,2,1,3,2,3,2,3,2,1,3,1,3,あ1,い3,う2,え1,お2,か1,き2,く1,け3,こ2,さ3,し3,す1,せ3,そ2,た1,ち2,つ2,て3,と2,な1,に3,ぬ1
50.0,2,2,3,1,3,2,2,1,3,1,1,3,2,2,3,2,1,3,1,3,1,3,2,1,2,1,あ2,い1,う3,え2,お3,か2,き3,く2,け1,こ3,さ1,し1,す2,せ1,そ3,た2,ち3,つ3,て1,と3,な2,に1,ぬ2
51.0,2,2,3,1,3,2,2,1,3,1,1,3,2,3,1,3,2,1,2,1,2,1,3,2,3,2,あ3,い2,う1,え3,お1,か3,き1,く3,け2,こ1,さ2,し2,す3,せ2,そ1,た3,ち1,つ1,て2,と1,な3,に2,ぬ3
52.0,2,3,1,2,1,3,3,2,1,2,2,1,3,1,2,1,3,2,3,3,1,3,2,1,2,2,あ3,い2,う1,え3,お1,か3,き1,く3,け2,こ1,さ2,し1,す2,せ1,そ3,た2,ち3,つ2,て3,と2,な1,に3,ぬ1
53.0,2,3,1,2,1,3,3,2,1,2,2,1,3,2,3,2,1,3,1,1,2,1,3,2,3,3,あ1,い3,う2,え1,お2,か1,き2,く1,け3,こ2,さ3,し2,す3,せ2,そ1,た3,ち1,つ3,て1,と3,な2,に1,ぬ2
54.0,2,3,1,2,1,3,3,2,1,2,2,1,3,3,1,3,2,1,2,2,3,2,1,3,1,1,あ2,い1,う3,え2,お3,か2,き3,く2,け1,こ3,さ1,し3,す1,せ3,そ2,た1,ち2,つ1,て2,と1,な3,に2,ぬ3
55.0,2,1,2,1,3,3,3,1,2,2,1,2,3,1,3,3,2,2,1,1,3,3,2,2,1,1,あ3,い3,う2,え2,お1,か1,き3,く3,け2,こ2,さ1,し1,す3,せ3,そ2,た2,ち1,つ1,て3,と3,な2,に2,ぬ1
56.0,2,1,2,1,3,3,3,1,2,2,1,2,3,2,1,1,3,3,2,2,1,1,3,3,2,2,あ1,い1,う3,え3,お2,か2,き1,く1,け3,こ3,さ2,し2,す1,せ1,そ3,た3,ち2,つ2,て1,と1,な3,に3,ぬ2
57.0,2,1,2,1,3,3,3,1,2,2,1,2,3,3,2,2,1,1,3,3,2,2,1,1,3,3,あ2,い2,う1,え1,お3,か3,き2,く2,け1,こ1,さ3,し3,す2,せ2,そ1,た1,ち3,つ3,て2,と2,な1,に1,ぬ3
58.0,2,2,3,2,1,1,1,2,3,3,2,3,1,1,3,3,2,2,1,1,3,3,2,2,1,2,あ1,い1,う3,え3,お2,か2,き1,く1,け3,こ3,さ2,し3,す2,せ2,そ1,た1,ち3,つ3,て2,と2,な1,に1,ぬ3
59.0,2,2,3,2,1,1,1,2,3,3,2,3,1,2,1,1,3,3,2,2,1,1,3,3,2,3,あ2,い2,う1,え1,お3,か3,き2,く2,け1,こ1,さ3,し1,す3,せ3,そ2,た2,ち1,つ1,て3,と3,な2,に2,ぬ1
60.0,2,2,3,2,1,1,1,2,3,3,2,3,1,3,2,2,1,1,3,3,2,2,1,1,3,1,あ3,い3,う2,え2,お1,か1,き3,く3,け2,こ2,さ1,し2,す1,せ1,そ3,た3,ち2,つ2,て1,と1,な3,に3,ぬ2
61.0,2,3,1,3,2,2,2,3,1,1,3,1,2,1,3,3,2,2,1,2,1,1,3,3,2,1,あ3,い3,う2,え2,お1,か3,き2,く2,け1,こ1,さ3,し2,す1,せ1,そ3,た3,ち2,つ3,て2,と2,な1,に1,ぬ3
62.0,2,3,1,3,2,2,2,3,1,1,3,1,2,2,1,1,3,3,2,3,2,2,1,1,3,2,あ1,い1,う3,え3,お2,か1,き3,く3,け2,こ2,さ1,し3,す2,せ2,そ1,た1,ち3,つ1,て3,と3,な2,に2,ぬ1
63.0,2,3,1,3,2,2,2,3,1,1,3,1,2,3,2,2,1,1,3,1,3,3,2,2,1,3,あ2,い2,う1,え1,お3,か2,き1,く1,け3,こ3,さ2,し1,す3,せ3,そ2,た2,ち1,つ2,て1,と1,な3,に3,ぬ2
64.0,2,1,2,2,3,3,1,2,1,1,3,3,2,1,3,3,2,2,1,3,2,2,1,1,3,3,あ2,い2,う1,え1,お3,か2,き1,く1,け3,こ3,さ2,し2,す1,せ1,そ3,た3,ち2,つ1,て3,と3,な2,に2,ぬ1
65.0,2,1,2,2,3,3,1,2,1,1,3,3,2,2,1,1,3,3,2,1,3,3,2,2,1,1,あ3,い3,う2,え2,お1,か3,き2,く2,け1,こ1,さ3,し3,す2,せ2,そ1,た1,ち3,つ2,て1,と1,な3,に3,ぬ2
66.0,2,1,2,2,3,3,1,2,1,1,3,3,2,3,2,2,1,1,3,2,1,1,3,3,2,2,あ1,い1,う3,え3,お2,か1,き3,く3,け2,こ2,さ1,し1,す3,せ3,そ2,た2,ち1,つ3,て2,と2,な1,に1,ぬ3
67.0,2,2,3,3,1,1,2,3,2,2,1,1,3,1,3,3,2,2,1,2,1,1,3,3,2,3,あ2,い2,う1,え1,お3,か1,き3,く3,け2,こ2,さ1,し3,す2,せ2,そ1,た1,ち3,つ2,て1,と1,な3,に3,ぬ2
