Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
41.0,2,2,3,1,2,3,1,3,1,2,1,2,3,2,3,1,3,1,2,1,2,3,3,1,2,1,あ2,い3,う2,え3,お1,か1,き2,く3,け2,こ3,さ1,し3,す1,せ2
42.0,2,2,3,1,2,3,1,3,1,2,1,2,3,3,1,2,1,2,3,2,3,1,1,2,3,2,あ3,い1,う3,え1,お2,か2,き3,く1,け3,こ1,さ2,し1,す2,せ3
43.0,2,2,3,1,3,1,2,1,2,3,2,3,1,1,2,3,2,3,1,3,1,2,3,1,2,1,あ2,い3,う2,え3,お1,か2,き3,く1,け3,こ1,さ2,し1,す2,せ3
44.0,2,2,3,1,3,1,2,1,2,3,2,3,1,2,3,1,3,1,2,1,2,3,1,2,3,2,あ3,い1,う3,え1,お2,か3,き1,く2,け1,こ2,さ3,し2,す3,せ1
45.0,2,2,3,1,3,1,2,1,2,3,2,3,1,3,1,2,1,2,3,2,3,1,2,3,1,3,あ1,い2,う1,え2,お3,か1,き2,く3,け2,こ3,さ1,し3,す1,せ2
46.0,2,3,1,2,1,2,3,3,1,2,2,3,1,1,2,3,3,1,2,2,3,1,1,2,3,3,あ1,い2,う2,え3,お1,か1,き2,く3,け3,こ1,さ2,し2,す3,せ1
47.0,2,3,1,2,1,2,3,3,1,2,2,3,1,2,3,1,1,2,3,3,1,2,2,3,1,1,あ2,い3,う3,え1,お2,か2,き3,く1,け1,こ2,さ3,し3,す1,せ2
48.0,2,3,1,2,1,2,3,3,1,2,2,3,1,3,1,2,2,3,1,1,2,3,3,1,2,2,あ3,い1,う1,え2,お3,か3,き1,く2,け2,こ3,さ1,し1,す2,せ3
49.0,2,3,1,2,2,3,1,1,2,3,3,1,2,1,2,3,3,1,2,2,3,1,2,3,1,1,あ2,い3,う3,え1,お2,か3,き1,く2,け2,こ3,さ1,し1,す2,せ3
50.0,2,3,1,2,2,3,1,1,2,3,3,1,2,2,3,1,1,2,3,3,1,2,3,1,2,2,あ3,い1,う1,え2,お3,か1,き2,く3,け3,こ1,さ2,し2,す3,せ1
51.0,2,3,1,2,2,3,1,1,2,3,3,1,2,3,1,2,2,3,1,1,2,3,1,2,3,3,あ1,い2,う2,え3,お1,か2,き3,く1,け1,こ2,さ3,し3,す1,せ2
52.0,2,3,1,2,3,1,2,2,3,1,1,2,3,1,2,3,3,1,2,2,3,1,3,1,2,2,あ3,い1,う1,え2,お3,か2,き3,く1,け1,こ2,さ3,し3,す1,せ2
53.0,2,3,1,2,3,1,2,2,3,1,1,2,3,2,3,1,1,2,3,3,1,2,1,2,3,3,あ1,い2,う2,え3,お1,か3,き1,く2,け2,こ3,さ1,し1,す2,せ3
54.0,2,3,1,2,3,1,2,2,3,1,1,2,3,3,1,2,2,3,1,1,2,3,2,3,1,1,あ2,い3,う3,え1,お2,か1,き2,く3,け3,こ1,さ2,し2,す3,せ1
55.0,3,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,あ3,い2,う1,え3,お2,か1,き3,く2,け1,こ3,さ2,し1,す3,せ2
56.0,3,1,3,2,1,3,2,1,3,2,1,3,2,2,1,3,2,1,3,2,1,3,2,1,3,2,あ1,い3,う2,え1,お3,か2,き1,く3,け2,こ1,さ3,し2,す1,せ3
57.0,3,1,3,2,1,3,2,1,3,2,1,3,2,3,2,1,3,2,1,3,2,1,3,2,1,3,あ2,い1,う3,え2,お1,か3,き2,く1,け3,こ2,さ1,し3,す2,せ1
58.0,3,1,3,2,2,1,3,2,1,3,2,1,3,1,3,2,1,3,2,1,3,2,2,1,3,2,あ1,い3,う2,え1,お3,か3,き2,く1,け3,こ2,さ1,し3,す2,せ1
59.0,3,1,3,2,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,3,2,1,3,あ2,い1,う3,え2,お1,か1,き3,く2,け1,こ3,さ2,し1,す3,せ2
60.0,3,1,3,2,2,1,3,2,1,3,2,1,3,3,2,1,3,2,1,3,2,1,1,3,2,1,あ3,い2,う1,え3,お2,か2,き1,く3,け2,こ1,さ3,し2,す1,せ3
61.0,3,1,3,2,3,2,1,3,2,1,3,2,1,1,3,2,1,3,2,1,3,2,3,2,1,3,あ2,い1,う3,え2,お1,か2,き1,く3,け2,こ1,さ3,し2,す1,せ3
62.0,3,1,3,2,3,2,1,3,2,1,3,2,1,2,1,3,2,1,3,2,1,3,1,3,2,1,あ3,い2,う1,え3,お2,か3,き2,く1,け3,こ2,さ1,し3,す2,せ1
63.0,3,1,3,2,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,2,1,3,2,あ1,い3,う2,え1,お3,か1,き3,く2,け1,こ3,さ2,し1,す3,せ2
64.0,3,2,1,3,1,3,2,2,1,3,3,2,1,1,3,2,2,1,3,3,2,1,1,3,2,2,あ1,い3,う3,え2,お1,か1,き3,く2,け2,こ1,さ3,し3,す2,せ1
65.0,3,2,1,3,1,3,2,2,1,3,3,2,1,2,1,3,3,2,1,1,3,2,2,1,3,3,あ2,い1,う1,え3,お2,か2,き1,く3,け3,こ2,さ1,し1,す3,せ2
66.0,3,2,1,3,1,3,2,2,1,3,3,2,1,3,2,1,1,3,2,2,1,3,3,2,1,1,あ3,い2,う2,え1,お3,か3,き2,く1,け1,こ3,さ2,し2,す1,せ3
67.0,3,2,1,3,2,1,3,3,2,1,1,3,2,1,3,2,2,1,3,3,2,1,2,1,3,3,あ2,い1,う1,え3,お2,か3,き2,く1,け1,こ3,さ2,し2,す1,せ3
68.0,3,2,1,3,2,1,3,3,2,1,1,3,2,2,1,3,3,2,1,1,3,2,3,2,1,1,あ3,い2,う2,え1,お3,か1,き3,く2,け2,こ1,さ3,し3,す2,せ1
69.0,3,2,1,3,2,1,3,3,2,1,1,3,2,3,2,1,1,3,2,2,1,3,1,3,2,2,あ1,い3,う3,え2,お1,か2,き1,く3,け3,こ2,さ1,し1,す3,せ2
70.0,3,2,1,3,3,2,1,1,3,2,2,1,3,1,3,2,2,1,3,3,2,1,3,2,1,1,あ3,い2,う2,え1,お3,か2,き1,く3,け3,こ2,さ1,し1,す3,せ2
71.0,3,2,1,3,3,2,1,1,3,2,2,1,3,2,1,3,3,2,1,1,3,2,1,3,2,2,あ1,い3,う3,え2,お1,か3,き2,く1,け1,こ3,さ2,し2,す1,せ3
72.0,3,2,1,3,3,2,1,1,3,2,2,1,3,3,2,1,1,3,2,2,1,3,2,1,3,3,あ2,い1,う1,え3,お2,か1,き3,く2,け2,こ1,さ3,し3,す2,せ1
73.0,3,3,2,1,1,3,2,3,2,1,2,1,3,1,3,2,3,2,1,2,1,3,1,3,2,3,あ2,い1,う2,え1,お3,か1,き3,く2,け3,こ2,さ1,し2,す1,せ3
74.0,3,3,2,1,1,3,2,3,2,1,2,1,3,2,1,3,1,3,2,3,2,1,2,1,3,1,あ3,い2,う3,え2,お1,か2,き1,く3,け1,こ3,さ2,し3,す2,せ1
75.0,3,3,2,1,1,3,2,3,2,1,2,1,3,3,2,1,2,1,3,1,3,2,3,2,1,2,あ1,い3,う1,え3,お2,か3,き2,く1,け2,こ1,さ3,し1,す3,せ2
76.0,3,3,2,1,2,1,3,1,3,2,3,2,1,1,3,2,3,2,1,2,1,3,2,1,3,1,あ3,い2,う3,え2,お1,か3,き2,く1,け2,こ1,さ3,し1,す3,せ2
77.0,3,3,2,1,2,1,3,1,3,2,3,2,1,2,1,3,1,3,2,3,2,1,3,2,1,2,あ1,い3,う1,え3,お2,か1,き3,く2,け3,こ2,さ1,し2,す1,せ3
78.0,3,3,2,1,2,1,3,1,3,2,3,2,1,3,2,1,2,1,3,1,3,2,1,3,2,3,あ2,い1,う2,え1,お3,か2,き1,く3,け1,こ3,さ2,し3,す2,せ1
79.0,3,3,2,1,3,2,1,2,1,3,1,3,2,1,3,2,3,2,1,2,1,3,3,2,1,2,あ1,い3,う1,え3,お2,か2,き1,く3,け1,こ3,さ2,し3,す2,せ1
80.0,3,3,2,1,3,2,1,2,1,3,1,3,2,2,1,3,1,3,2,3,2,1,1,3,2,3,あ2,い1,う2,え1,お3,か3,き2,く1,け2,こ1,さ3,し1,す3,せ2
81.0,3,3,2,1,3,2,1,2,1,3,1,3,2,3,2,1,2,1,3,1,3,2,2,1,3,1,あ3,い2,う3,え2,お1,か1,き3,く2,け3,こ2,さ1,し2,す1,せ3
